id,album_id,n,title,dur,genre,accent,g1,g2,tags,desc,audio,story_title,story_paragraphs,story_quote
111,11,1,??????????????,3:15,J-Rock,#d4a855,#d4a855,#5a3008,Upbeat|Opener,Feelings never spoken aloud — everything that lives outside the script.,audio/01.mp3,??????????????,"There are stories we never tell anyone. Not because they don't matter, but because they matter too much to say out loud.||""Off the Record"" was born one night when Minta sat alone in the studio after the mics were off. She started humming a melody no one would ever hear — and it became the hook of this song.||This song is a confession of every feeling that lives outside the public eye. Love that happens after the cameras stop rolling. The real smile behind the practiced one.",Sometimes the truest story is the one that was never recorded.
112,11,2,In Full Bloom,2:52,Pop,#e8c06a,#e8c06a,#6a4010,Blooming|Warm,The moment when everything blossoms at once.,audio/In_Full_Bloom_mastered.wav,In Full Bloom,"Flowers never rush to bloom. They wait until the light, the temperature, and the time are right — then open one petal at a time.||""In Full Bloom"" is about growing at your own pace. Minta wrote it for herself on a day she felt slower than everyone else, and discovered that blooming late doesn't mean blooming less beautifully.||The bridge was recorded in a single take, because she sang it through tears — and the team decided to keep that version.",Every flower has its own season.
113,11,3,Kami-Oshi,2:44,J-Pop,#f0d080,#f0d080,#806010,Idol|Devoted,Dedicated to that one Kami-Oshi — a feeling no words can fully describe.,audio/Kami-Oshi_mastered.wav,Kami-Oshi,"In fandom culture, ""Kami-Oshi"" means the one you cheer for with all your heart. The one who makes you want to become a better person.||This song flips the perspective — told through the eyes of an idol looking down from the stage, seeing one fan who comes to every show, smiling every time. And she wants to say: honestly, you are my Kami-Oshi too.||The applause at the end of the track was recorded at a real concert.","You think you're cheering for me, but really, I'm the one drawing strength from you."
211,21,1,Neon Rain,3:20,R&B,#7ab4d8,#7ab4d8,#0a2860,Rain|Urban,"Rain falling on the big city, neon reflected on wet streets.",,Neon Rain,"Wave wrote this song on the rainiest night of the year, sitting in a parked car by the roadside, watching the lights melt on the rain-soaked windshield.||The main synth was designed to sound like raindrops hitting the ground in scattered rhythms.",The city is most beautiful when it's wet.
212,21,2,3AM Frequency,3:45,Electronic,#8ac4e8,#8ac4e8,#12386a,Late-night|Deep,A frequency at 3AM that only some people can hear.,,3AM Frequency,"There's a theory that at 3AM, the world is quiet enough for you to hear your own thoughts clearly.||Every take of this song was actually recorded at 3AM. Wave says the voice carries a fragility at that hour that daytime can never reproduce.",3AM is when the truth is loudest.
213,21,3,Last Train Home,4:02,Soul,#60a0c8,#60a0c8,#0a2040,Journey|Closing,"The last train home, with thoughts running faster than the rails.",,Last Train Home,"Everyone has taken the last train home — body exhausted, mind still racing.||The station announcement in the track is a real recording from the station Wave used every day when he first started making music.",The ride home is the best thinking time there is.
311,31,1,Fold,3:10,Ballad,#b49ed4,#b49ed4,#2a1060,Gentle|Poetic,Folding feelings into shapes that can be passed on.,,Fold,"Sora began writing this song while folding a letter she never sent.||""If feelings could be folded like paper, what shape would we fold them into?"" — that question became the first line of the song.",A letter never sent is still a letter.
312,31,2,Gravity of Words,3:55,Ballad,#c8b0e8,#c8b0e8,#3a2070,Deep|Closing,"The gravity of words — once spoken, they can never be taken back.",,Gravity of Words,"Some words are light when spoken, but heavy when they land on the listener's heart.||The song was recorded with just a piano and a voice, because Sora wanted every word to have room to fall.","Words have no wings, yet they fly farther than we think."
121,12,1,Polaroid,3:05,Pop,#ff6a00,#ff6a00,#3a1800,Snapshot|Warm,A single frame that holds an entire afternoon.,,Polaroid,"Some moments develop slowly, like film in the dark.||Minta shot an entire roll of instant photos the day she wrote this — only one came out. That one photo became the whole song.",One frame can hold a whole season of the heart.
122,12,2,Afterglow,3:40,Ballad,#ffa040,#ffa040,#402408,Sunset|Closing,The light that stays after the sun has gone.,,Afterglow,"The best part of a sunset is the minute after it ends.||Written in one sitting on a rooftop, watching the sky change color long after the day was over.",What remains after the light is still light.
221,22,1,Rooftop,3:15,Electronic,#00e0c0,#00e0c0,#02302a,Skyline|Free,"Above the noise, the city finally makes sense.",,Rooftop,"Wave mixes every album at least once on a rooftop, on headphones, at night.||This track kept only the take with real wind noise in it — the city insisted on being featured.","From up here, even the traffic sounds like a chorus."
222,22,2,Static Love,3:50,R&B,#38f0d8,#38f0d8,#083832,Signal|Longing,A love that only comes through between the static.,,Static Love,"Two radios, slightly out of tune with each other — that is the whole metaphor.||The vocal was recorded through an actual FM transmitter to get the distance right.",Some frequencies only two people can hear.
321,32,1,Margins,2:58,Acoustic,#ff3d9a,#ff3d9a,#38081e,Notes|Quiet,Everything important gets written in the margins.,,Margins,"Sora keeps every draft. The songs, she says, live in the crossed-out lines.||This track's lyrics are assembled entirely from margin notes of her old notebooks.",The margin is where the honest words hide.
322,32,2,Featherweight,3:33,Ballad,#ff68b8,#ff68b8,#40102a,Light|Closing,Carrying something so light it becomes heavy.,,Featherweight,"A feather weighs nothing — until you carry it for years.||Recorded in a single take at 5AM, voice barely above a whisper.",The lightest things are the hardest to put down.
